Respondent,DatabaseDesireNextYear,DatabaseWorkedWith
1246,MySQL,
1246,Redis,
1246,SQLite,
1249,Elasticsearch,Microsoft SQL Server
1249,MariaDB,
1249,Microsoft SQL Server,
1249,MongoDB,
1249,PostgreSQL,
1251,MariaDB,Elasticsearch
1251,,MariaDB
1251,,MySQL
1251,MySQL,
1267,Elasticsearch,Elasticsearch
1267,,Microsoft SQL Server
1267,,MongoDB
1267,,MySQL
1267,,Redis
1267,,SQLite
1267,Microsoft SQL Server,
1267,MongoDB,
1267,MySQL,
1267,Redis,
1267,SQLite,
1268,DynamoDB,Couchbase
1268,,DynamoDB
1268,,Elasticsearch
1268,,Firebase
1268,,PostgreSQL
1268,,Redis
1268,Elasticsearch,
1268,PostgreSQL,
1268,Redis,
1284,Microsoft SQL Server,Microsoft SQL Server
1284,PostgreSQL,
1287,Cassandra,Microsoft SQL Server
1287,,Oracle
1287,,Redis
1287,Microsoft SQL Server,
1287,Oracle,
1287,PostgreSQL,
1287,Redis,
1295,PostgreSQL,MongoDB
1295,Redis,
1296,IBM DB2,IBM DB2
1296,,Microsoft SQL Server
1296,,Redis
1296,Microsoft SQL Server,
1296,Redis,
1312,Cassandra,Cassandra
1312,,Elasticsearch
1312,,MySQL
1312,,Oracle
1312,,PostgreSQL
1312,Elasticsearch,
1312,MySQL,
1312,PostgreSQL,
1314,Elasticsearch,Elasticsearch
1314,,Microsoft SQL Server
1314,,MySQL
1314,,PostgreSQL
1314,,Redis
1314,,SQLite
1314,Microsoft SQL Server,
1314,PostgreSQL,
1314,Redis,
1314,SQLite,
1315,Microsoft SQL Server,Microsoft SQL Server
1315,,MongoDB
1315,,PostgreSQL
1315,,Redis
1315,PostgreSQL,
1315,Redis,
1330,SQLite,PostgreSQL
1342,Microsoft SQL Server,Microsoft SQL Server
1343,Firebase,PostgreSQL
1343,MongoDB,
1343,PostgreSQL,
1345,MongoDB,MongoDB
1345,,MySQL
1345,MySQL,
1345,PostgreSQL,
1345,Redis,
1354,DynamoDB,MariaDB
1354,,MySQL
1354,Elasticsearch,
1354,Firebase,
1354,MariaDB,
1354,MongoDB,
1354,MySQL,
