,Respondent,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith
72609,56519,Github,Confluence
72610,56519,,Github
72611,56519,,"Google Suite (Docs, Meet, etc)"
72612,56519,,Jira
72613,56519,,Slack
72614,56519,,Trello
72615,56519,Gitlab,
72621,56519,Slack,
72627,56519,"Google Suite (Docs, Meet, etc)",
72633,56519,Stack Overflow for Teams,
72639,56523,Gitlab,Gitlab
72640,56569,Github,Facebook Workplace
72641,56569,,Github
72642,56569,,"Google Suite (Docs, Meet, etc)"
72643,56569,Facebook Workplace,
72646,56569,"Google Suite (Docs, Meet, etc)",
72649,56569,Stack Overflow for Teams,
72652,56572,Confluence,Confluence
72653,56572,,Github
72654,56572,,Gitlab
72655,56572,,"Google Suite (Docs, Meet, etc)"
72656,56572,,Jira
72657,56572,,Microsoft Teams
72658,56572,Jira,
72664,56572,Github,
72670,56572,Gitlab,
72676,56572,Microsoft Teams,
72682,56600,Github,Confluence
72683,56600,,Github
72684,56600,,Gitlab
72685,56600,,"Google Suite (Docs, Meet, etc)"
72686,56600,,Jira
72687,56600,,Slack
72688,56600,,Trello
72689,56600,Gitlab,
72696,56600,"Google Suite (Docs, Meet, etc)",
72703,56602,Jira,Github
72704,56602,,"Google Suite (Docs, Meet, etc)"
72705,56602,,Jira
72706,56602,,Slack
72707,56602,Github,
72711,56602,Slack,
72715,56602,"Google Suite (Docs, Meet, etc)",
72719,56611,Confluence,Confluence
72720,56611,,Github
72721,56611,,Gitlab
72722,56611,,"Google Suite (Docs, Meet, etc)"
72723,56611,,Jira
72724,56611,,Microsoft Teams
72725,56611,,Slack
72726,56611,,Trello
72727,56611,Jira,
72735,56611,Github,
72743,56611,Gitlab,
72751,56611,Slack,
72759,56611,Trello,
72767,56611,"Google Suite (Docs, Meet, etc)",
72775,56613,Github,Confluence
72776,56613,,Github
72777,56613,,Gitlab
72778,56613,,"Google Suite (Docs, Meet, etc)"
72779,56613,,Jira
72780,56613,,Slack
72781,56613,"Google Suite (Docs, Meet, etc)",
72787,56621,Confluence,Confluence
72788,56621,,Github
72789,56621,,Jira
72790,56621,,Microsoft Azure
72791,56621,,Microsoft Teams
72792,56621,Jira,
72797,56621,Github,
72802,56621,Microsoft Teams,
72807,56621,Microsoft Azure,
72812,56632,Github,Github
72813,56632,"Google Suite (Docs, Meet, etc)",
72814,56649,Github,Github
72815,56649,,Gitlab
72816,56667,Jira,Github
72817,56667,,Gitlab
72818,56667,,"Google Suite (Docs, Meet, etc)"
72819,56667,,Jira
72820,56667,,Slack
72821,56667,,Trello
72822,56667,Github,
72828,56667,Gitlab,
72834,56667,Slack,
72840,56667,Trello,
72846,56667,"Google Suite (Docs, Meet, etc)",
72852,56695,Confluence,Confluence
72853,56695,,Github
72854,56695,,Gitlab
72855,56695,,"Google Suite (Docs, Meet, etc)"
72856,56695,,Jira
72857,56695,,Microsoft Azure
72858,56695,,Microsoft Teams
72859,56695,,Slack
72860,56695,,Trello
72861,56695,Github,
72870,56695,Gitlab,
72879,56695,Microsoft Azure,
72888,56695,Trello,
72897,56695,"Google Suite (Docs, Meet, etc)",
72906,56698,Confluence,Confluence
72907,56698,,Facebook Workplace
72908,56698,,Github
72909,56698,,Gitlab
72910,56698,,"Google Suite (Docs, Meet, etc)"
72911,56698,,Jira
72912,56698,,Microsoft Azure
72913,56698,Jira,
72920,56698,Github,
72927,56698,Gitlab,
72934,56698,Facebook Workplace,
72941,56698,Microsoft Teams,
72948,56698,Microsoft Azure,
72955,56698,Trello,
72962,56698,"Google Suite (Docs, Meet, etc)",
72969,56698,Stack Overflow for Teams,
72976,56700,Confluence,Confluence
72977,56700,,Github
72978,56700,,"Google Suite (Docs, Meet, etc)"
72979,56700,,Jira
72980,56700,,Slack
72981,56700,,Stack Overflow for Teams
72982,56700,,Trello
72983,56700,Jira,
72990,56700,Github,
72997,56700,Slack,
73004,56700,Trello,
73011,56700,"Google Suite (Docs, Meet, etc)",
73018,56700,Stack Overflow for Teams,
73025,56713,Github,Github
73026,56713,,"Google Suite (Docs, Meet, etc)"
73027,56713,,Slack
73028,56713,,Trello
73029,56713,Slack,
73033,56713,Trello,
73037,56713,"Google Suite (Docs, Meet, etc)",
73041,56715,Confluence,Confluence
73042,56715,,Github
73043,56715,,Gitlab
73044,56715,,"Google Suite (Docs, Meet, etc)"
73045,56715,,Jira
73046,56715,,Microsoft Azure
73047,56715,,Slack
73048,56715,Jira,
73055,56715,Github,
73062,56715,Gitlab,
73069,56715,Slack,
73076,56715,Microsoft Azure,
73083,56715,"Google Suite (Docs, Meet, etc)",
73090,56729,Confluence,Confluence
73091,56729,,Github
73092,56729,,Gitlab
73093,56729,,"Google Suite (Docs, Meet, etc)"
73094,56729,,Jira
73095,56729,,Slack
73096,56729,Jira,
73102,56729,Github,
73108,56729,Gitlab,
73114,56729,Slack,
73120,56729,"Google Suite (Docs, Meet, etc)",
73126,56734,Github,Github
73127,56734,,"Google Suite (Docs, Meet, etc)"
73128,56734,,Jira
73129,56734,,Slack
73130,56734,Slack,
73134,56734,"Google Suite (Docs, Meet, etc)",
73138,56737,Github,Github
73139,56737,,"Google Suite (Docs, Meet, etc)"
73140,56737,,Microsoft Teams
73141,56737,,Slack
73142,56737,,Trello
73143,56737,Slack,
73148,56737,Microsoft Teams,
73153,56737,Trello,
73158,56776,Jira,Github
73159,56776,,Gitlab
73160,56776,,"Google Suite (Docs, Meet, etc)"
73161,56776,,Jira
73162,56776,,Microsoft Azure
73163,56776,,Microsoft Teams
73164,56776,,Slack
73165,56776,,Trello
73166,56776,Github,
73174,56776,Gitlab,
73182,56776,Slack,
73190,56776,Microsoft Teams,
73198,56776,Microsoft Azure,
73206,56776,Trello,
73214,56776,"Google Suite (Docs, Meet, etc)",
73222,56781,Github,Github
73223,56781,,Gitlab
73224,56781,,"Google Suite (Docs, Meet, etc)"
73225,56781,Gitlab,
73228,56781,"Google Suite (Docs, Meet, etc)",
73231,56796,Slack,Confluence
73232,56796,,Jira
73233,56796,,Microsoft Azure
73234,56796,,Microsoft Teams
73235,56796,Microsoft Teams,
73239,56796,Microsoft Azure,
73243,56815,Github,Confluence
73244,56815,,Github
73245,56815,,Gitlab
73246,56815,,"Google Suite (Docs, Meet, etc)"
73247,56815,,Jira
73248,56815,,Microsoft Azure
73249,56815,,Microsoft Teams
73250,56815,,Trello
73251,56815,Gitlab,
73259,56815,Microsoft Azure,
73267,56815,Trello,
73275,56820,Github,Github
73276,56820,,Microsoft Azure
73277,56820,Microsoft Teams,
73279,56820,Microsoft Azure,
73281,56824,Github,Github
73282,56824,Slack,
73283,56834,Confluence,Confluence
73284,56834,,Github
73285,56834,,Jira
73286,56834,,Microsoft Teams
73287,56834,Jira,
73291,56834,Github,
73295,56834,Microsoft Teams,
73299,56847,Github,Github
73300,56847,,Gitlab
73301,56847,,Slack
73302,56867,Confluence,Confluence
73303,56867,,Github
73304,56867,,Gitlab
73305,56867,,"Google Suite (Docs, Meet, etc)"
73306,56867,,Jira
73307,56867,,Slack
73308,56867,Jira,
73314,56867,Github,
73320,56867,Gitlab,
73326,56867,Slack,
73332,56867,"Google Suite (Docs, Meet, etc)",
73338,56874,Github,Confluence
73339,56874,,Github
73340,56874,,Jira
73341,56874,,Microsoft Azure
73342,56874,,Microsoft Teams
73343,56874,Microsoft Teams,
73348,56874,Microsoft Azure,
73353,56896,Github,Github
73354,56896,,Gitlab
73355,56896,,Jira
73356,56896,,Microsoft Teams
73357,56896,,Slack
73358,56896,Gitlab,
73363,56896,Slack,
73368,56936,Confluence,Confluence
73369,56936,,Github
73370,56936,,Gitlab
73371,56936,,"Google Suite (Docs, Meet, etc)"
73372,56936,,Jira
73373,56936,,Slack
73374,56936,,Trello
73375,56936,Jira,
73382,56936,Github,
73389,56936,Gitlab,
73396,56936,Slack,
73403,56936,Trello,
73410,56936,"Google Suite (Docs, Meet, etc)",
73417,56936,Stack Overflow for Teams,
73424,56957,Confluence,Confluence
73425,56957,,Github
73426,56957,,"Google Suite (Docs, Meet, etc)"
73427,56957,,Jira
73428,56957,,Slack
73429,56957,Jira,
73434,56957,Github,
73439,56957,Slack,
73444,56957,"Google Suite (Docs, Meet, etc)",
73449,56959,Slack,Github
73450,56959,,"Google Suite (Docs, Meet, etc)"
73451,56959,,Jira
73452,56959,,Trello
73453,56959,Stack Overflow for Teams,
73457,56963,Jira,Github
73458,56963,,Jira
73459,56963,,Slack
73460,56963,Github,
73463,56963,Slack,
73466,56978,Microsoft Azure,Github
73467,56978,,Trello
73468,57028,Github,Github
73469,57028,,Gitlab
73470,57028,,"Google Suite (Docs, Meet, etc)"
73471,57028,,Jira
73472,57028,,Microsoft Teams
73473,57028,,Slack
73474,57028,Gitlab,
73480,57028,Slack,
73486,57028,"Google Suite (Docs, Meet, etc)",
73492,57049,Jira,Github
73493,57049,,"Google Suite (Docs, Meet, etc)"
73494,57049,,Jira
73495,57049,,Microsoft Azure
73496,57049,,Microsoft Teams
73497,57049,Github,
73502,57049,Microsoft Teams,
73507,57049,Microsoft Azure,
73512,57049,"Google Suite (Docs, Meet, etc)",
73517,57050,Jira,Github
73518,57050,,Gitlab
73519,57050,,"Google Suite (Docs, Meet, etc)"
73520,57050,,Jira
73521,57050,,Slack
73522,57050,Github,
73527,57050,Slack,
73532,57050,"Google Suite (Docs, Meet, etc)",
73537,57103,Github,Github
73538,57103,,Trello
73539,57103,Trello,
73541,57103,Stack Overflow for Teams,
73543,57142,Github,Github
73544,57161,Jira,Confluence
73545,57161,,Github
73546,57161,,Jira
73547,57161,,Slack
73548,57161,,Trello
73549,57161,Github,
73554,57161,Gitlab,
73559,57161,Slack,
73564,57161,Microsoft Azure,
73569,57161,Trello,
73574,57168,Confluence,Confluence
73575,57168,,Facebook Workplace
73576,57168,,Github
73577,57168,,"Google Suite (Docs, Meet, etc)"
73578,57168,,Jira
73579,57168,,Slack
73580,57168,Jira,
73586,57168,Github,
73592,57168,Gitlab,
73598,57168,Slack,
73604,57168,Microsoft Teams,
73610,57168,"Google Suite (Docs, Meet, etc)",
73616,57202,Jira,Github
73617,57202,,Jira
73618,57202,,Microsoft Teams
73619,57202,,Slack
73620,57202,Github,
73624,57202,Gitlab,
73628,57202,Slack,
73632,57202,Microsoft Teams,
73636,57220,Jira,Github
73637,57220,,Gitlab
73638,57220,,"Google Suite (Docs, Meet, etc)"
73639,57220,,Slack
73640,57220,,Trello
73641,57220,Gitlab,
73646,57220,Slack,
73651,57220,"Google Suite (Docs, Meet, etc)",
73656,57224,Microsoft Teams,Github
73657,57224,,Microsoft Azure
73658,57224,,Slack
73659,57224,,Trello
73660,57224,Microsoft Azure,
73664,57287,Github,Github
73665,57287,,Gitlab
73666,57287,,"Google Suite (Docs, Meet, etc)"
73667,57287,,Microsoft Teams
73668,57287,,Slack
73669,57287,,Trello
73670,57287,Gitlab,
73676,57287,Slack,
73682,57287,Microsoft Teams,
73688,57287,Microsoft Azure,
73694,57295,Github,Github
73695,57295,,"Google Suite (Docs, Meet, etc)"
73696,57295,,Slack
73697,57295,Slack,
73700,57295,"Google Suite (Docs, Meet, etc)",
73703,57311,Confluence,Confluence
73704,57311,,Github
73705,57311,,"Google Suite (Docs, Meet, etc)"
73706,57311,,Jira
73707,57311,,Microsoft Azure
73708,57311,,Microsoft Teams
73709,57311,,Slack
73710,57311,Jira,
73717,57311,Github,
73724,57311,Slack,
73731,57311,"Google Suite (Docs, Meet, etc)",
73738,57328,Jira,Github
73739,57328,,"Google Suite (Docs, Meet, etc)"
73740,57328,,Jira
73741,57328,,Slack
73742,57328,,Trello
73743,57328,Github,
73748,57328,Gitlab,
73753,57328,Slack,
73758,57349,Confluence,Confluence
73759,57349,,Github
73760,57349,,Gitlab
73761,57349,,Jira
73762,57349,,Slack
73763,57349,,Trello
73764,57349,Jira,
73770,57349,Github,
73776,57365,Confluence,Confluence
73777,57365,,Github
73778,57365,,Jira
73779,57365,,Microsoft Azure
73780,57365,,Microsoft Teams
73781,57365,,Slack
73782,57365,,Trello
73783,57365,Jira,
73790,57365,Github,
73797,57365,Microsoft Teams,
73804,57365,Microsoft Azure,
73811,57368,Github,Github
73812,57368,,Gitlab
73813,57368,,Microsoft Azure
73814,57368,,Microsoft Teams
73815,57368,Microsoft Teams,
73819,57368,Microsoft Azure,
73823,57369,Github,Github
73824,57369,,"Google Suite (Docs, Meet, etc)"
73825,57369,,Slack
73826,57369,,Trello
73827,57369,Gitlab,
73831,57369,Facebook Workplace,
73835,57369,Trello,
73839,57369,Stack Overflow for Teams,
73843,57390,Github,Github
73844,57390,,Trello
73845,57390,Gitlab,
73847,57390,Trello,
73849,57415,Jira,Github
73850,57415,,Gitlab
73851,57415,,Jira
73852,57415,,Slack
73853,57415,Github,
73857,57415,Gitlab,
73861,57415,Slack,
73865,57419,Confluence,Confluence
73866,57419,,Github
73867,57419,,Gitlab
73868,57419,,"Google Suite (Docs, Meet, etc)"
73869,57419,,Jira
73870,57419,,Slack
73871,57419,Jira,
73877,57419,Github,
73883,57419,Gitlab,
73889,57419,Slack,
73895,57419,"Google Suite (Docs, Meet, etc)",
73901,57434,Github,Github
73902,57434,,Gitlab
73903,57434,,"Google Suite (Docs, Meet, etc)"
73904,57434,,Slack
73905,57434,,Trello
73906,57434,Gitlab,
73911,57434,Slack,
73916,57434,Trello,
73921,57434,"Google Suite (Docs, Meet, etc)",
73926,57434,Stack Overflow for Teams,
73931,57444,Confluence,Confluence
73932,57444,,Github
73933,57444,,Gitlab
73934,57444,,"Google Suite (Docs, Meet, etc)"
73935,57444,,Jira
73936,57444,,Slack
73937,57444,,Stack Overflow for Teams
73938,57444,,Trello
73939,57444,Jira,
73947,57444,Github,
73955,57444,Slack,
73963,57444,Stack Overflow for Teams,
73971,57454,Github,Github
73972,57454,,Trello
73973,57456,Github,Github
73974,57456,,Jira
73975,57456,,Microsoft Azure
73976,57456,,Microsoft Teams
73977,57456,,Trello
73978,57456,Microsoft Azure,
73983,57471,Github,Github
73984,57471,,"Google Suite (Docs, Meet, etc)"
73985,57471,,Slack
73986,57471,,Trello
73987,57471,Slack,
73991,57471,Trello,
73995,57471,"Google Suite (Docs, Meet, etc)",
73999,57480,Github,Github
74000,57480,,"Google Suite (Docs, Meet, etc)"
74001,57480,,Slack
74002,57480,,Trello
74003,57507,Jira,Github
74004,57507,,Microsoft Teams
74005,57507,Github,
74007,57507,Microsoft Teams,
74009,57507,Microsoft Azure,
74011,57507,"Google Suite (Docs, Meet, etc)",
74013,57507,Stack Overflow for Teams,
74015,57529,Github,Github
74016,57529,,Gitlab
74017,57529,,"Google Suite (Docs, Meet, etc)"
74018,57529,,Jira
74019,57529,,Slack
74020,57529,,Trello
74021,57529,Gitlab,
74027,57529,Slack,
74033,57529,"Google Suite (Docs, Meet, etc)",
74039,57529,Stack Overflow for Teams,
74045,57543,Confluence,Confluence
74046,57543,,Github
74047,57543,,Gitlab
74048,57543,,"Google Suite (Docs, Meet, etc)"
74049,57543,,Jira
74050,57543,,Slack
74051,57543,Jira,
74057,57543,Github,
74063,57543,Gitlab,
74069,57543,Slack,
74075,57543,"Google Suite (Docs, Meet, etc)",
74081,57550,Github,Gitlab
74082,57550,,"Google Suite (Docs, Meet, etc)"
74083,57550,Gitlab,
74085,57550,"Google Suite (Docs, Meet, etc)",
74087,57570,Github,Github
74088,57570,,"Google Suite (Docs, Meet, etc)"
74089,57570,"Google Suite (Docs, Meet, etc)",
74091,57623,Github,Confluence
74092,57623,,Github
74093,57623,,Jira
74094,57623,,Microsoft Teams
74095,57623,,Slack
74096,57623,,Trello
74097,57623,Slack,
74103,57623,Trello,
74109,57644,Gitlab,Gitlab
74110,57644,,"Google Suite (Docs, Meet, etc)"
74111,57644,"Google Suite (Docs, Meet, etc)",
74113,57645,Jira,Github
74114,57645,,Gitlab
74115,57645,,Trello
74116,57645,Github,
74119,57645,Gitlab,
74122,57645,Trello,
74125,57651,Confluence,Github
74126,57651,,Gitlab
74127,57651,,"Google Suite (Docs, Meet, etc)"
74128,57651,,Microsoft Teams
74129,57651,,Slack
74130,57651,Jira,
74135,57651,Github,
74140,57651,Gitlab,
74145,57651,Facebook Workplace,
74150,57651,Slack,
74155,57651,Microsoft Teams,
74160,57651,Microsoft Azure,
74165,57651,Stack Overflow for Teams,
74170,57659,Jira,Gitlab
74171,57659,,"Google Suite (Docs, Meet, etc)"
74172,57659,,Jira
74173,57659,,Microsoft Teams
74174,57659,,Slack
74175,57659,Gitlab,
74180,57659,Slack,
74185,57659,"Google Suite (Docs, Meet, etc)",
74190,57662,Confluence,Confluence
74191,57662,,Github
74192,57662,,"Google Suite (Docs, Meet, etc)"
74193,57662,,Jira
74194,57662,,Microsoft Azure
74195,57662,,Microsoft Teams
74196,57662,,Slack
74197,57662,,Trello
74198,57662,Jira,
74206,57662,Github,
74214,57662,Slack,
74222,57662,Microsoft Azure,
74230,57662,"Google Suite (Docs, Meet, etc)",
74238,57673,Confluence,Confluence
74239,57673,,Github
74240,57673,,"Google Suite (Docs, Meet, etc)"
74241,57673,,Jira
74242,57673,,Slack
74243,57673,,Trello
74244,57673,Jira,
74250,57673,Gitlab,
74256,57675,Slack,Github
74257,57675,,Gitlab
74258,57675,,"Google Suite (Docs, Meet, etc)"
74259,57675,,Microsoft Azure
74260,57675,,Slack
74261,57675,Microsoft Azure,
74266,57675,"Google Suite (Docs, Meet, etc)",
74271,57719,Confluence,Confluence
74272,57719,,Github
74273,57719,,Gitlab
74274,57719,,"Google Suite (Docs, Meet, etc)"
74275,57719,,Jira
74276,57719,,Slack
74277,57719,Jira,
74283,57719,Github,
74289,57719,Gitlab,
74295,57719,"Google Suite (Docs, Meet, etc)",
74301,57742,Confluence,Confluence
74302,57742,,Github
74303,57742,,"Google Suite (Docs, Meet, etc)"
74304,57742,,Jira
74305,57742,,Microsoft Teams
74306,57742,,Stack Overflow for Teams
74307,57742,,Trello
74308,57742,Jira,
74315,57742,Github,
74322,57742,Gitlab,
74329,57742,Microsoft Teams,
74336,57742,Trello,
74343,57742,"Google Suite (Docs, Meet, etc)",
74350,57742,Stack Overflow for Teams,
74357,57751,Github,Github
74358,57751,,Gitlab
74359,57751,,"Google Suite (Docs, Meet, etc)"
74360,57751,,Slack
74361,57751,Gitlab,
74365,57751,Slack,
74369,57751,"Google Suite (Docs, Meet, etc)",
74373,57777,Github,Github
74374,57777,,Jira
74375,57777,,Slack
74376,57777,Slack,
74379,57780,Github,Github
74380,57780,,"Google Suite (Docs, Meet, etc)"
74381,57780,,Jira
74382,57780,"Google Suite (Docs, Meet, etc)",
74385,57788,Jira,Github
74386,57788,,Gitlab
74387,57788,,Jira
74388,57788,,Slack
74389,57788,,Trello
74390,57788,Github,
74395,57788,Gitlab,
74400,57788,Slack,
74405,57788,Trello,
74410,57801,Confluence,Github
74411,57801,,"Google Suite (Docs, Meet, etc)"
74412,57801,,Slack
74413,57801,Jira,
74416,57801,Github,
74419,57801,"Google Suite (Docs, Meet, etc)",
74422,57804,Jira,"Google Suite (Docs, Meet, etc)"
74423,57804,,Jira
74424,57804,,Microsoft Azure
74425,57804,,Microsoft Teams
74426,57804,,Slack
74427,57804,,Trello
74428,57804,Slack,
74434,57804,Microsoft Teams,
74440,57804,Microsoft Azure,
74446,57810,Github,Github
74447,57810,,Microsoft Azure
74448,57810,,Microsoft Teams
74449,57810,Microsoft Teams,
74452,57810,Microsoft Azure,
74455,57822,Gitlab,Gitlab
74456,57822,,Trello
74457,57822,Trello,
74459,57835,Github,Github
74460,57835,,Gitlab
74461,57835,,Jira
74462,57835,,Microsoft Teams
74463,57835,,Slack
74464,57835,Slack,
74469,57835,Trello,
74474,57855,Github,Github
74475,57855,,"Google Suite (Docs, Meet, etc)"
74476,57855,,Jira
74477,57855,,Slack
74478,57855,Slack,
74482,57859,Jira,Gitlab
74483,57859,,"Google Suite (Docs, Meet, etc)"
74484,57859,,Jira
74485,57859,,Slack
74486,57859,,Trello
74487,57859,Github,
74492,57859,Gitlab,
74497,57859,Slack,
74502,57859,Trello,
74507,57859,"Google Suite (Docs, Meet, etc)",
74512,57859,Stack Overflow for Teams,
74517,57868,Confluence,Confluence
74518,57868,,Github
74519,57868,,"Google Suite (Docs, Meet, etc)"
74520,57868,,Jira
74521,57868,,Microsoft Azure
74522,57868,,Slack
74523,57868,Github,
74529,57868,Slack,
74535,57868,Microsoft Azure,
74541,57868,"Google Suite (Docs, Meet, etc)",
74547,57869,Github,Github
74548,57869,,Microsoft Teams
74549,57869,Slack,
74551,57869,Microsoft Azure,
74553,57869,Stack Overflow for Teams,
74555,57889,Jira,Confluence
74556,57889,,Gitlab
74557,57889,,Jira
74558,57889,,Slack
74559,57889,Gitlab,
74563,57889,Slack,
74567,57903,Jira,Github
74568,57903,,Microsoft Azure
74569,57903,,Microsoft Teams
74570,57903,,Slack
74571,57903,Github,
74575,57903,Slack,
74579,57903,Microsoft Teams,
74583,57903,Microsoft Azure,
74587,57904,Jira,Github
74588,57904,,"Google Suite (Docs, Meet, etc)"
74589,57904,,Jira
74590,57904,,Slack
74591,57904,,Trello
74592,57904,Github,
74597,57904,Slack,
74602,57904,Trello,
74607,57904,"Google Suite (Docs, Meet, etc)",
74612,57909,Github,Confluence
74613,57909,,Github
74614,57909,,"Google Suite (Docs, Meet, etc)"
74615,57909,,Jira
74616,57909,,Microsoft Azure
74617,57909,,Slack
74618,57909,"Google Suite (Docs, Meet, etc)",
74624,57918,Github,"Google Suite (Docs, Meet, etc)"
74625,57918,,Microsoft Teams
74626,57918,,Slack
74627,57918,,Stack Overflow for Teams
74628,57918,,Trello
74629,57918,Gitlab,
74634,57918,Facebook Workplace,
74639,57918,Slack,
74644,57918,Stack Overflow for Teams,
74649,57923,Github,Github
74650,57923,,"Google Suite (Docs, Meet, etc)"
74651,57923,,Trello
74652,57923,Facebook Workplace,
74655,57923,Slack,
74658,57923,Trello,
74661,57923,"Google Suite (Docs, Meet, etc)",
74664,57937,Github,"Google Suite (Docs, Meet, etc)"
74665,57937,,Jira
74666,57937,,Slack
74667,57937,Slack,
74670,57937,"Google Suite (Docs, Meet, etc)",
74673,57971,Confluence,Confluence
74674,57971,,Github
74675,57971,,Jira
74676,57971,,Slack
74677,57971,,Trello
74678,57971,Jira,
74683,57971,Github,
74688,57971,Gitlab,
74693,57971,Slack,
74698,57971,Trello,
74703,57984,Confluence,Confluence
74704,57984,,Github
74705,57984,,Gitlab
74706,57984,,"Google Suite (Docs, Meet, etc)"
74707,57984,,Jira
74708,57984,,Microsoft Teams
74709,57984,,Trello
74710,57984,Jira,
74717,57984,Github,
74724,57984,Slack,
74731,57984,"Google Suite (Docs, Meet, etc)",
74738,58001,Confluence,Confluence
74739,58001,,Github
74740,58001,,"Google Suite (Docs, Meet, etc)"
74741,58001,,Jira
74742,58001,,Microsoft Azure
74743,58001,,Slack
74744,58001,Jira,
74750,58001,Github,
74756,58001,Slack,
74762,58001,"Google Suite (Docs, Meet, etc)",
74768,58008,Github,Github
74769,58008,,Gitlab
74770,58008,,Microsoft Azure
74771,58008,,Microsoft Teams
74772,58008,Microsoft Teams,
74776,58008,Microsoft Azure,
74780,58008,Trello,
74784,58034,Slack,Microsoft Teams
74785,58034,,Slack
74786,58034,,Trello
74787,58035,Github,Github
74788,58035,,Gitlab
74789,58035,,"Google Suite (Docs, Meet, etc)"
74790,58035,,Jira
74791,58035,,Slack
74792,58035,,Trello
74793,58035,Gitlab,
74799,58035,Slack,
74805,58035,Trello,
74811,58035,"Google Suite (Docs, Meet, etc)",
74817,58040,Microsoft Teams,Confluence
74818,58040,,Gitlab
74819,58040,,Jira
74820,58040,,Slack
74821,58040,Stack Overflow for Teams,
74825,58062,Trello,"Google Suite (Docs, Meet, etc)"
74826,58062,,Trello
74827,58063,Confluence,"Google Suite (Docs, Meet, etc)"
74828,58063,,Slack
74829,58063,,Trello
74830,58063,Slack,
74833,58063,Trello,
74836,58063,"Google Suite (Docs, Meet, etc)",
74839,58080,Github,Github
74840,58080,,Microsoft Azure
74841,58080,,Microsoft Teams
74842,58080,,Slack
74843,58080,Slack,
74847,58080,Microsoft Teams,
74851,58080,Microsoft Azure,
74855,58114,Github,Github
74856,58114,,Gitlab
74857,58114,,Trello
74858,58114,Gitlab,
74861,58114,Trello,
74864,58132,Slack,Microsoft Azure
74865,58132,,Slack
74866,58132,Microsoft Azure,
74868,58134,Github,Github
74869,58134,,Gitlab
74870,58134,,Microsoft Azure
74871,58134,Microsoft Teams,
74874,58134,Microsoft Azure,
74877,58155,Github,Github
74878,58155,,Microsoft Azure
74879,58155,,Slack
74880,58155,,Trello
74881,58155,Slack,
74885,58155,Microsoft Teams,
74889,58155,Microsoft Azure,
74893,58155,Trello,
74897,58157,Jira,Github
74898,58157,,"Google Suite (Docs, Meet, etc)"
74899,58157,,Jira
74900,58157,,Slack
74901,58157,,Trello
74902,58157,Github,
74907,58157,Trello,
74912,58157,"Google Suite (Docs, Meet, etc)",
74917,58163,Github,Github
74918,58163,,Gitlab
74919,58163,,"Google Suite (Docs, Meet, etc)"
74920,58163,,Slack
74921,58163,Gitlab,
74925,58163,Slack,
74929,58163,"Google Suite (Docs, Meet, etc)",
74933,58168,Confluence,Confluence
74934,58168,,Github
74935,58168,,Gitlab
74936,58168,,"Google Suite (Docs, Meet, etc)"
74937,58168,,Jira
74938,58168,,Microsoft Teams
74939,58168,,Trello
74940,58168,Jira,
74947,58168,Github,
74954,58168,Gitlab,
74961,58168,Trello,
74968,58168,"Google Suite (Docs, Meet, etc)",
74975,58184,Github,Github
74976,58184,,"Google Suite (Docs, Meet, etc)"
74977,58184,,Slack
74978,58184,,Trello
74979,58184,Slack,
74983,58184,Trello,
74987,58184,"Google Suite (Docs, Meet, etc)",
74991,58188,Jira,Confluence
74992,58188,,Github
74993,58188,,Gitlab
74994,58188,,"Google Suite (Docs, Meet, etc)"
74995,58188,,Jira
74996,58188,,Microsoft Teams
74997,58188,,Slack
74998,58188,,Trello
74999,58188,Github,
75007,58188,Slack,
75015,58188,Microsoft Azure,
75023,58188,Trello,
75031,58188,"Google Suite (Docs, Meet, etc)",
75039,58188,Stack Overflow for Teams,
75047,58192,Github,Github
75048,58192,,Microsoft Teams
75049,58192,,Slack
75050,58192,Gitlab,
75053,58192,Slack,
75056,58192,Microsoft Azure,
75059,58192,Stack Overflow for Teams,
75062,58200,Github,Confluence
75063,58200,,Github
75064,58200,,"Google Suite (Docs, Meet, etc)"
75065,58200,,Jira
75066,58200,,Microsoft Azure
75067,58200,,Slack
75068,58200,,Trello
75069,58200,Slack,
75076,58200,"Google Suite (Docs, Meet, etc)",
75083,58200,Stack Overflow for Teams,
75090,58234,Confluence,Confluence
75091,58234,,Jira
75092,58234,,Slack
75093,58234,Jira,
75096,58234,Slack,
75099,58245,Microsoft Azure,Gitlab
75100,58245,,"Google Suite (Docs, Meet, etc)"
75101,58245,,Slack
75102,58245,Stack Overflow for Teams,
75105,58247,Confluence,Confluence
75106,58247,,Github
75107,58247,,Gitlab
75108,58247,,Jira
75109,58247,,Slack
75110,58247,Jira,
75115,58247,Slack,
75120,58250,Github,Github
75121,58250,,"Google Suite (Docs, Meet, etc)"
75122,58250,,Microsoft Teams
75123,58250,Microsoft Teams,
75126,58250,"Google Suite (Docs, Meet, etc)",
75129,58250,Stack Overflow for Teams,
75132,58251,Github,Github
75133,58251,,Slack
75134,58251,,Trello
75135,58251,Slack,
75138,58251,Trello,
75141,58251,Stack Overflow for Teams,
75144,58256,Github,Github
75145,58256,,Slack
75146,58256,,Trello
75147,58256,Slack,
75150,58258,Github,Github
75151,58258,,Slack
75152,58258,,Trello
75153,58258,Slack,
75156,58258,Trello,
75159,58306,Confluence,Gitlab
75160,58306,,"Google Suite (Docs, Meet, etc)"
